Fixed,Naive,Honest_Split
0.098,0.064,0.438
0.014,0.004,0.012
0.932,0.616,0.788
0.912,0.69,0.502
0.96,0.704,0.828
0.15,0.058,0.196
0.888,0.806,0.782
0.278,0.174,0.64
0.364,0.216,0.528
0.412,0.282,0.072
0.792,0.746,0.37
0.33,0.286,0.656
0.43,0.344,0.786
0.988,0.944,0.524
0.362,0.182,0.83
0.926,0.76,0.04
0.188,0.084,0.424
0.842,0.608,1
0.456,0.444,0.854
0.96,0.868,0.078
0.91,0.77,0.242
0.272,0.18,0.24
0.372,0.246,0.122
0.282,0.294,0.882
0.09,0.046,0.082
0.954,0.734,0.894
0.644,0.492,0.43
0.146,0.06,0.644
0.88,0.71,0.098
0.596,0.276,0.794
0.496,0.276,0.568
0.856,0.74,0.94
0.06,0.03,0.304
0.64,0.382,0.44
0.984,0.814,0.7
0.804,0.732,0.502
0.342,0.234,0.764
0.492,0.336,0.284
0.882,0.462,0.854
0.592,0.412,0.964
0.314,0.258,0.79
0.38,0.242,0.776
0.516,0.352,0.456
0.054,0.028,0.158
0.84,0.714,0.886
0.258,0.148,0.688
0.414,0.198,0.17
0.032,0.016,0.212
0.45,0.248,0.864
0.37,0.2,0.562
0.74,0.736,0.77
0.738,0.664,0.872
0.272,0.208,0.038
0.448,0.384,0.392
0.528,0.518,0.796
0.08,0.09,0.242
0.374,0.252,0.238
0.83,0.73,0.17
0.08,0.032,0.25
0.178,0.142,0.646
0.158,0.092,0.342
0.522,0.446,0.73
0.742,0.374,0.718
0.95,0.69,0.57
0.024,0.014,0.586
0.192,0.114,0.532
0.32,0.142,0.022
0.536,0.444,0.176
0.98,0.606,0.792
0.096,0.052,0.372
0.534,0.444,0.42
0.23,0.106,0.154
0.702,0.448,0.828
0.474,0.452,0.962
0.066,0.044,0.006
0.886,0.642,0.462
0.82,0.628,0.944
0.784,0.634,0.378
0.64,0.326,0.678
0.904,0.582,0.606
0.14,0.096,0.386
0.506,0.344,0.284
0.46,0.348,0.624
0.062,0.038,0.028
0.528,0.514,0.766
0.642,0.582,0.206
0.04,0.014,0.704
0.108,0.044,0.138
0.058,0.03,0.4
0.476,0.286,0.21
0.086,0.068,0.412
0.144,0.05,0.86
0.41,0.33,0.698
0.032,0.02,0.87
0.04,0.014,0.09
0.814,0.73,0.556
0.92,0.62,0.446
0.196,0.118,0.144
0.95,0.668,0.932
0.84,0.832,0.994
0.68,0.532,0.212
0.868,0.566,0.162
0.394,0.396,0.388
0.004,0.002,0.002
0.002,0.002,0.004
0.002,0.002,0.014
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.002
0.002,0.002,0.004
0.032,0.002,0.06
0.002,0.002,0.014
0.004,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.042
0.006,0.002,0.07
0.002,0.002,0.026
0.002,0.002,0.066
0.006,0.002,0.012
0.002,0.002,0.006
0.002,0.002,0.014
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.016
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.002
0.02,0.002,0.034
0.002,0.002,0.006
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.014
0.008,0.002,0.794
0.002,0.002,0.08
0.002,0.002,0.362
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.036
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.158
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.004
0.002,0.002,0.018
0.002,0.002,0.006
0.002,0.002,0.006
0.002,0.002,0.022
0.002,0.002,0.002
0.002,0.002,0.008
0.002,0.002,0.012
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.006
0.002,0.002,0.004
0.002,0.002,0.002
0.002,0.002,0.01
0.002,0.002,0.01
0.002,0.002,0.002
0.002,0.002,0.002
0.002,0.002,0.114
0.002,0.002,0.002
0.002,0.002,0.838
0.002,0.002,0.034
0.002,0.002,0.004
0.002,0.002,0.006
0.002,0.002,0.082
0.002,0.002,0.002
0.002,0.002,0.02
0.002,0.002,0.006
0.006,0.002,0.018
0.002,0.002,0.014
0.002,0.002,0.006
0.002,0.002,0.01
0.002,0.002,0.002
0.002,0.002,0.01
0.002,0.002,0.006
0.002,0.002,0.02
0.002,0.002,0.002
0.004,0.002,0.004
0.002,0.002,0.052
0.002,0.002,0.048
0.002,0.002,0.002
0.002,0.002,0.002
0.048,0.012,0.266
0.002,0.002,0.01
0.002,0.002,0.042
0.002,0.002,0.006
0.002,0.002,0.008
0.002,0.002,0.238
0.002,0.002,0.014
0.002,0.002,0.002
